"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Hungary"	18897.794738	19712.872939	20706.394608	21611.839765	22743.738241	23767.639334	24744.026823	24851.128376	25144.608572	23522.010145	23828.962676	24342.6906	24162.81615	24666.185787	25779.461466	26798.854228	27469.64385	28719.392685	30297.815904	31785.951766	30409.614788	32734.265715	34326.20191
"Japan"	36772.695341	36827.276129	36765.227015	37261.180487	38045.944373	38725.888799	39231.855391	39769.868517	39263.029018	37030.873197	38545.658464	38618.77687	39235.322697	40090.864103	40232.048565	40908.781547	41274.637598	42041.309073	42399.807142	42321.701531	40658.68035	41598.087134	42212.649883
"Poland"	15684.838782	15884.319428	16215.757092	16799.305673	17643.317875	18271.13235	19406.107849	20785.198243	21658.172674	22059.175165	22686.48847	23824.816863	24187.940399	24415.399328	25364.065975	26495.814917	27298.247657	28705.117403	30418.821805	31794.818603	31178.517891	33508.500206	35540.909395
"Spain"	32467.392388	33569.130545	33938.529591	34310.529088	34834.670437	35442.456042	36316.068604	36896.981743	36619.439504	34949.263293	34859.649626	34447.198918	33406.385211	33059.994224	33621.098098	34945.481614	35976.252365	36980.743663	37666.94591	38107.175153	33612.74589	35486.122703	37197.939243
"Switzerland"	56892.156227	57504.055797	57054.21015	56623.230628	57766.761771	59005.213383	61027.942228	62855.232247	63861.920592	61696.288011	63220.707571	63760.401136	63830.917908	64232.010314	64944.14646	65265.050827	65891.681258	66169.300209	67562.519088	67848.361173	65754.37318	68007.738771	68798.622594
"United Kingdom"	37041.156836	37694.982569	38198.982942	39212.954242	39922.95441	40674.103368	41270.012477	41988.329788	41581.077204	39426.88168	40063.885701	40155.701612	40468.762818	40947.48933	41936.487721	42601.747441	43167.472911	43959.805942	44442.834381	44911.792879	39788.468417	42639.761369	44100.576546
"Colombia"	8769.551598	8803.533624	8909.209036	9144.419356	9518.347923	9851.806767	10390.921343	10970.097908	11209.136511	11210.325964	11578.634412	12255.981878	12611.315972	13134.981006	13496.885517	13762.750912	13897.986431	13911.759194	14021.031634	14143.998591	12868.399737	14091.374606	14983.275548
"Slovenia"	24582.976676	25341.144419	26188.996292	26947.428669	28108.137403	29124.02701	30689.702117	32652.728624	33746.85173	30898.630434	31204.382812	31411.553172	30524.043449	30169.101389	30970.350425	31631.838376	32620.374248	34171.539589	35587.942606	36515.486527	34708.466007	37470.55013	39468.339602
"Mexico"	16531.418604	16266.905957	16056.654258	16086.372568	16522.66907	16714.081722	17262.288408	17436.05313	17396.395832	16251.312136	16867.476094	17274.753394	17694.384161	17730.730295	18035.233149	18430.218897	19007.347537	19187.605152	19365.926018	19076.241385	17354.785526	17998.592397	18410.305096
"Israel"	28975.91179	28384.331043	27774.449261	27645.601758	28448.652463	29094.394431	30167.359202	31410.730624	31847.277613	31566.116314	32747.993516	33935.635536	34179.18026	35029.1748	35710.458238	35877.114973	36769.528689	37609.645865	38392.36313	39229.847052	37819.058951	40405.044349	42189.921459
